OR ID,YEAR,QUARTER,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
1,2003,1,2891694,667279,445192,103704,4107869
2,2003,2,3063802,598619,570830,82795,4316046
3,2003,3,3104546,702697,662916,125824,4595983
4,2003,4,3004298,700261,542110,136757,4383426
5,2004,1,3033877,817558,516215,135452,4503102
6,2004,2,3196489,731771,724568,168147,4820975
7,2004,3,2990849,781738,803294,176948,4752829
8,2004,4,2933370,784318,633689,179270,4530647
9,2005,1,3043356,930654,599326,163195,4736531
10,2005,2,3404654,837232,847225,207081,5296192
11,2005,3,3404282,921387,936572,208779,5471020
12,2005,4,3338261,879006,731527,204610,5153404
13,2006,1,3436925,1020809,666270,203653,5327657
14,2006,2,3768267,974986,957666,257259,5958178
15,2006,3,3521649,1022888,1008824,276221,5829582
16,2006,4,3361336,1005841,776697,234056,5377930
17,2007,1,3352315,1132007,710317,207320,5401959
18,2007,2,3645358,996517,975019,236212,5853106
19,2007,3,3586019,1056035,1033209,246215,5921478
20,2007,4,3492653,1083865,837629,242067,5656214
21,2008,1,3463543,1269368,718519,221143,5672573
22,2008,2,3756891,1142608,992332,263130,6154961
23,2008,3,3697254,1307971,1112672,284111,6402008
24,2008,4,3223099,1175743,812234,255482,5466558
25,2009,1,2890244,1143211,586393,214144,4833992
26,2009,2,3001644,898435,781544,203660,4885283
27,2009,3,3047206,992785,867043,215119,5122153
28,2009,4,3016536,1079525,737767,222989,5056817
29,2010,1,3038501,1158154,645022,221303,5062980
30,2010,2,3410254,1048562,936800,273648,5669264
31,2010,3,3345577,1161152,1019137,311620,5837486
32,2010,4,3267283,1250779,764227,298921,5581210
33,2011,1,3181125,1434222,638899,272949,5527195
34,2011,2,3575021,1239734,998269,295516,6108540
35,2011,3,3584428,1367364,1071914,347242,6370948
36,2011,4,3442310,1418491,789592,300489,5950882
37,2012,1,3489124,1579404,654678,308240,6031446
38,2012,2,3795859,1339680,964226,347430,6447195
39,2012,3,3566949,1434305,1054110,366391,6421755
40,2012,4,3404565,1459528,738187,322391,5924671
41,2013,1,3496568,1650812,654202,283445,6085027
42,2013,2,3697846,1401598,997270,340105,6436819
43,2013,3,3734762,1589026,1129320,363500,6816608
44,2013,4,3576673,1654761,879367,310990,6421791
45,2014,1,3710420,1731423,737723,289396,6468962
46,2014,2,4152491,1527600,1115035,357714,7152840
47,2014,3,4003152,1467523,1137523,446311,7054509
48,2014,4,3669078,1558094,832949,403959,6464080
49,2015,1,3673245,1437299,740206,517949,6368699
50,2015,2,3947971,1264880,1040473,565515,6818839
51,2015,3,6738831,1523169,1914253,556137,10732390
52,2015,4,6325267,1487747,1313487,534416,9660917
53,2016,1,5681892,1834275,1064493,916407,9497067
54,2016,2,6925786,1411881,1302039,810182,10449889
55,2016,3,7453971,1242275,1508702,483683,10688632
56,2016,4,7061426,1252713,975966,495844,9785949
57,2017,1,6938794,1364692,810329,506806,9620621
58,2017,2,7769872,1337990,1463802,530147,11101812
59,2017,3,7360355,1328356,1654223,532458,10875392
60,2017,4,7538414,1395569,1116716,546792,10597491
61,2018,1,7190383,1730210,903900,573797,10398290
62,2018,2,7871256,1540904,1655931,571604,11639695
63,2018,3,7625075,1448794,1895943,586223,11556035
64,2018,4,7748781,1443844,1210713,532456,10935794
65,2019,1,7466265,1655513,915071,543736,10580585
66,2019,2,8193408,1492916,1774410,497414,11958148
67,2019,3,7968658,1444145,1996679,500365,11909847
68,2019,4,8086951,1463759,1262688,499147,11312544
69,2020,1,6047388,1447294,733985,285133,8513799
70,2020,2,1414451,50526,99841,57234,1622052
71,2020,3,2706260,222785,140636,102586,3172266
72,2020,4,3145006,597755,142838,141295,4026894
73,2021,1,3100740,629699,138991,138068,4007498
74,2021,2,5971897,1092729,280441,132926,7477994
75,2021,3,7118594,1108135,620047,121484,8968261